ID,Ruleset,Name,Requirements,Effects description,Flavor text,Restrictions,Dzięki dla Zbycha za xmind 
PERK_TRZYDWAJEDENBUM,Neuroshima Edycja 1.5,3 2 1 Bum,"Mechanika 3+, Materiały wybuchowe 3+","Możesz uzbroić - jak bombę - dowolny pojazd, urządzenie czy maszynę napędzaną łatwopalnym paliwem. Kwadrans spokojnej pracy i możesz zacząć odliczanie. Czas wybuchu określasz z pięćdziesięcioprocentową dokładnością na sekundę, minutę, kwadrans lub godzinę (np. gdy wybierzesz minutę, spodziewaj się wybuchu między pół a półtorej minuty), Czasem, jeśli MG pozwoli, nawet na tydzień. Siła wybuchu zależy od rodzaju urządzenia.","Wszystkie urządzenia na świecie można podzielić na takie, które czasem wybuchają i takie, które nigdy nie wybuchają. Szczególnie interesują Cię te pierwsze. Wystarczy tu przeciąć wężyk, tam skręcić kabel tu znów poluzować śrubkę. I gotowe. Teraz wystarczy poczekać na fajerwerki.
",NIEOGRANICZONE,
PERK_ARAMIS,Neuroshima Edycja 1.5,Aramis,"Zręczność 14+, Broń ręczna 5+","Akcja za 2 sukcesy:
PT testu o poziom wyższy, do ataku dowolną bronią dłuższą od noża. Szast, prast i broń przeciwnika (każda dłuższa od noża) leci na bok.","Gdy spotkasz kiedyś wędrującego samotnie dziadka, który podpiera się kijkiem, za nic w świecie go nie zaczepiaj. To może być Dziadzio z Alabamy. Najpierw wytrąci Ci kijkiem twój topór; potem złoi na kwaśne jabłko, a na koniec pogrozi palcem i pójdzie sobie dalej.
",NIEOGRANICZONE,
PERK_ASEKURACJA,Neuroshima Edycja 1.5,Asekuracja,Wspinaczka 2+,"Bohater pomaga innej osobie (zapiętaj w uprząż) wspinać się po linie. Dzięki temu osoba ta traktowana jest, jakby gdyby miała Umiejętność Wspinaczka na poziomie 1. Pozwala jej to uniknąć kłopotów z Suwakiem.","No nieźle ci idzie, teraz spróbuj sam. No dalej, nie pękaj...
",NIEOGRANICZONE,
PERK_ASPIRYNAITIKTAKI,Neuroshima Edycja 1.5,Aspiryna i Tik-Taki,"Leczenie chorób 4+, Blef 3+","Za pomocą najprostszych lekarstw, Bohater potrafi utrzymywać chorego w stanie stabilnym, tak, jakby podopieczny łykał potrzebne mu lekarstwo. ""Aspirynę i Tik-Taki"" można podawać przez liczbę dni równą wartości Umiejętności Blef. Potem trzeba przerzucić się na zalecane leki. Po dwóch tygodniach znów można wrócić do kuracji ""Aspiryną i Tik-Takami""","Raz byłem poważnie chory i leczył mnie wtedy Pastor Ludwik. Przez dwa tygodnie łykałem lekarstwo na Gorączkę Sobotniej Nocy, aż wyzdrowiałem. Potem dowiedziałem się,  że klecha karmił mnie aspiryną i Tik-takami.
",NIEOGRANICZONE,
PERK_BARBARKA,Neuroshima Edycja 1.5,Barbarka,"Bijatyka 5+, Budowa 14+
","Jeśli segment wcześniej zadałeś celny cios (nawet obroniony przez przeciwnika), w kolejnym segmencie możesz użyć dodatkowej akcji (zużywając jednak w normalny sposób 1 segment tury)

Akcja za 1 sukces: 
Uderzenie Głową:

Zadaje Ciężkiego Siniaka. Można użyć tylko raz przeciwko temu samemu przeciwnikowi.","Jak dla mnie, jednym z najbardziej deprymujących zagrań w walce, jest pieprznąć gościa w ryj, własnym ryjem. To zawsze szokuje...
",NIEOGRANICZONE,
PERK_BERSERKER,Neuroshima Edycja 1.5,Berserker,"Odporność na ból 6+, Budowa 12+
","Jeśli Bohater walczy wręcz i odniósł przynajmniej jedną ciężką ranę, do końca walki automatycznie zdaje testy Odporności na ból, także automatycznie może wejść w tryb berserkera (walczący nie musi się bronić).","Kumpel chwalił się kiedyś, że jest twardy jak Statua Wolności i nic go nie powali na ziemię. No i doczekał się – napadła go grupa gangerów i zaczęła go lać rurkami i łańcuchami. Nie chciał się  poddać, to go powalili na ziemię. Wstał i dalej się na nich rzucał. No i w końcu brakło mu posoki, bo cała wyciekła, tak go pochlastali. Zbyt twardy był, można powiedzieć.",NIEOGRANICZONE,
PERK_BEZODDECHU,Neuroshima Edycja 1.5,Bez oddechu,"Pływanie 4+
",Bohater potrafi wytrzymać bez oddechu dwa razy dłużej niż zwykły człowiek (czyli każde 4 punkty Budowy dają 1 minutę).,"Więc ja mu głowę pod wodę i czekam. Zacznie się dusić, to będzie bardziej rozmowny. No nie przesadzę, jak powiem, że trzymałem go tam dwie minuty. A on uśmiechnięty. No to trzy. A on morda w banan. No to ja go na cztery minuty. A on… W końcu znalazłem gazrurkę i zaczął śpiewać…",NIEOGRANICZONE,
PERK_BEZSPRZETUBEZZABEZPIECZENIA,Neuroshima Edycja 1.5,"Bez sprzętu, bez zabezpieczenia","Wspinaczka 6+, Zręczność 10+
","Podczas wspinaczki Bohater podwaja poziom swojej umiejętności Wspinaczka, nawet jeśli nie używa sprzętu i liny. Jednak użycie specjalistycznego sprzętu bardziej już nie pomnoży poziomu Umiejętności.","Kocie ruchy, tak? Jak dla mnie to facet porusza się jak glonojad po ścianie akwarium. Przylgnął do skały i prędzej ta skała walnie w ziemię, niż on. Tak to już jest, jak od dziecka mieszkasz w jaskiniach, nie?",NIEOGRANICZONE,
PERK_BEZSZNURKOW,Neuroshima Edycja 1.5,Bez sznurków,"Pistolety 3+, Zręczność 13+, Percepcja 12+
","Skaczesz i jednocześnie strzelasz w locie; trwa to dwa segmenty, więc możesz oddać dwa strzały. Otrzymujesz za to karę +20% do testu strzelania, za to do ciebie trudniej trafić aż o +40%. W trzecim segmencie padasz na ziemię. Możesz tak zostać i walić dalej leżąc albo poświęcić segmenty  na pozbieranie się i spieprzać. Sztuczka dotyczy tylko pistoletów.
","Nauczyłem się tego z filmu. Tak z filmu. Tyle, że u tamtych było widać sznurki, na których latali jak czarodzieje. A ja nie potrzebuję żadnych sznurków. Chcesz zobaczyć?",NIEOGRANICZONE,
PERK_BIEGWCISZY,Neuroshima Edycja 1.5,Bieg w ciszy,"Kondycja 3+, Budowa 12+
","Bohater może biec bez przerwy przez kilkanaście godzin, pokonując nawet 50 km.","Powiedział do mnie „Ścigamy się” i uśmiechnął się głupio. Myślę sobie, niezły żart. A potem zaczął biec. Spokojnie dopiłem piwo, zrobiłem zakupy, zatankowałem do pełna i ruszyłem. Po drodze mijałem go czterokrotnie, dokładnie tyle razy, ile razy stawała moja Christine, która tej nocy wyraźnie nie była w formie. Skończyło się tym, że dotarł do Vegas pierwszy – przebiegł 80 kilosów szybciej. Niż mój Cadillac.",NIEOGRANICZONE,
